ERR619080	1475	1774	1417	19	1398
					
ERR550643	1291	1397	1266	18	1248
ERR550644	1328	1490	1280	17	1263
ERR550658	1451	2033	1401	23	1378
ERR550659	1516	2301	1469	23	1446
ERR550670	1416	1450	1354	23	1331
ERR550724	1617	1849	1514	23	1491
ERR550738	1432	1621	1366	19	1347
ERR550739	1492	1687	1434	19	1415
ERR550777	1375	1585	1342	23	1319
ERR550778	1420	1565	1372	25	1347
ERR550779	1335	1526	1324	24	1300
ERR550782	1475	2140	1427	23	1404
ERR550783	1480	2117	1427	23	1404
ERR550887	1477	2041	1407	24	1383
ERR550910	1607	1613	1516	19	1497
ERR550927	1438	1747	1361	16	1345
ERR550940	1488	1629	1404	21	1383
ERR550941	1406	1547	1352	21	1331
ERR550946	1402	1566	1344	20	1324
ERR550947	1379	1576	1329	20	1309
ERR550957	1618	1855	1477	20	1457
ERR550984	1482	1974	1418	21	1397
ERR551007	1527	1596	1452	19	1433
ERR551071	1480	1543	1416	19	1397
ERR551079	1472	1697	1411	19	1392
ERR551086	1431	1655	1378	18	1360
ERR551090	1474	1654	1417	22	1395
ERR551155	1453	1665	1378	23	1355
ERR551156	1387	1467	1346	22	1324
ERR551159	1514	1684	1459	26	1433
ERR551167	1400	1459	1365	24	1341
ERR551168	1429	1528	1391	23	1368
ERR551184	1380	1558	1337	17	1320
ERR551185	1291	1465	1262	18	1244
ERR551201	1441	2054	1396	19	1377
ERR551212	1488	1711	1422	23	1399
ERR551214	1284	1368	1247	18	1229
ERR551225	1480	1551	1402	18	1384
ERR551293	1557	1629	1463	20	1443
ERR551305	1487	2285	1421	23	1398
ERR551311	1509	1698	1434	23	1411
ERR551360	1464	1741	1422	23	1399
ERR551361	1420	1570	1378	23	1355
ERR551362	1401	1632	1363	24	1339
ERR551369	1451	1600	1368	18	1350
ERR551370	1426	1589	1355	19	1336
ERR551412	1349	1521	1310	23	1287
ERR551494	1518	1813	1446	24	1422
ERR551520	1604	1598	1496	19	1477
ERR551549	1814	2434	1523	25	1498
ERR551554	1476	1559	1412	23	1389
ERR551556	1435	1755	1400	24	1376
ERR551557	1335	1433	1317	23	1294
ERR551558	1354	1589	1329	21	1308
ERR551572	1437	1597	1364	17	1347
ERR551575	1261	1355	1221	24	1197
ERR551636	1453	1726	1371	18	1353
ERR551638	1494	2223	1402	23	1379
ERR551680	1448	1593	1389	20	1369
ERR551681	1421	1530	1356	19	1337
ERR551688	1421	1476	1373	20	1353
ERR551693	1421	1573	1366	22	1344
ERR551694	1409	1517	1349	22	1327
ERR551772	1605	1857	1495	22	1473
ERR551804	1443	1722	1401	24	1377
ERR551805	1373	1476	1352	24	1328
ERR551806	1395	1557	1357	24	1333
ERR551821	1476	2098	1429	24	1405
ERR551822	1502	2189	1440	23	1417
ERR551854	1353	1511	1317	19	1298
ERR551855	1423	1571	1365	19	1346
ERR551879	1485	1590	1417	19	1398
ERR551927	1389	1492	1337	20	1317
ERR551928	1423	1540	1361	20	1341
ERR551930	1502	1776	1434	19	1415
ERR551934	1586	1625	1500	19	1481
ERR551943	1256	1339	1239	21	1218
ERR551944	1446	1580	1377	23	1354
ERR551945	1449	1537	1405	24	1381
ERR551956	1443	1602	1391	24	1367
ERR551957	1418	1567	1358	24	1334
ERR551977	1377	1523	1332	18	1314
ERR551978	1414	1548	1359	19	1340
ERR551979	1139	1196	1118	15	1103
ERR551980	1295	1456	1272	18	1254
ERR551981	1247	1304	1204	17	1187
ERR551982	1353	1483	1312	18	1294
ERR551983	1061	1116	1041	15	1026
ERR551990	1561	1685	1485	19	1466
ERR552090	1580	1665	1491	22	1469
ERR552130	1488	1577	1431	20	1411
ERR552136	1517	1687	1429	24	1405
ERR552141	1452	1569	1402	26	1376
ERR552177	1465	1622	1402	19	1383
ERR552190	1539	1588	1463	19	1444
ERR552194	1534	2218	1452	23	1429
ERR552219	1441	1619	1366	23	1343
ERR552331	1484	1631	1407	19	1388
ERR552358	1498	1753	1440	24	1416
ERR552429	1488	1640	1432	26	1406
ERR552444	1394	1622	1362	18	1344
ERR552445	1343	1579	1304	18	1286
ERR552479	1779	1833	1636	25	1611
ERR552482	1549	1987	1461	25	1436
ERR552493	1501	2251	1441	21	1420
ERR552494	1479	2021	1436	21	1415
ERR552549	1436	1603	1355	20	1335
ERR552550	1387	1437	1338	20	1318
ERR552555	1487	1702	1419	21	1398
ERR552580	1489	1732	1426	25	1401
ERR552668	1304	1419	1291	23	1268
ERR552669	1269	1504	1248	21	1227
ERR552670	1419	2009	1392	22	1370
ERR552671	1440	2160	1393	21	1372
ERR552689	1423	1533	1375	20	1355
ERR552690	1211	1268	1176	18	1158
ERR552743	1431	1561	1375	19	1356
ERR552755	1422	1694	1355	18	1337
ERR552760	1452	1741	1368	18	1350
ERR552787	1484	1872	1410	19	1391
ERR552830	1436	1626	1379	19	1360
ERR552838	1455	1596	1395	19	1376
ERR552894	1431	1559	1365	20	1345
ERR552895	1337	1440	1307	19	1288
ERR552907	1504	2057	1425	24	1401
ERR552910	1443	1531	1406	22	1384
ERR552911	1424	1545	1383	21	1362
ERR552912	1513	1630	1437	18	1419
ERR552939	1497	2482	1457	23	1434
ERR552940	1556	2261	1510	23	1487
ERR552949	1420	1606	1370	21	1349
ERR552954	1467	1618	1404	21	1383
ERR553068	1470	1624	1390	24	1366
ERR553081	1395	1544	1357	19	1338
ERR553082	1444	1679	1385	17	1368
ERR553086	1575	1638	1482	19	1463
ERR553098	1523	1948	1426	24	1402
ERR553107	1446	1629	1396	24	1372
ERR553116	1475	1604	1386	20	1366
ERR553139	1493	1783	1429	23	1406
ERR553156	1411	1552	1375	18	1357
ERR553157	1355	1507	1325	19	1306
ERR553171	1497	3051	1439	19	1420
ERR553237	1487	1708	1414	22	1392
ERR553251	1602	1810	1496	25	1471
ERR553274	1398	1652	1330	18	1312
ERR553275	1334	1479	1289	18	1271
ERR553277	1471	1623	1402	20	1382
ERR553291	1468	1635	1398	19	1379
ERR553303	1320	1386	1298	26	1272
ERR553304	1388	1467	1346	26	1320
ERR553313	1502	1710	1414	24	1390
ERR553324	1477	1556	1415	19	1396
ERR619080	1475	1774	1417	19	1398
					
